		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
101111000  262  242  251  267  223  274  248  233 10.049913 0.261540 SUCCESS  94
101111100  239  257  255  235  225  245  240  238  3.451298 0.902936 SUCCESS  95
110000000  236  254  243  265  214  244  222  249  8.563900 0.380408 SUCCESS  96
110000010  241  231  217  280  250  234  246  247  9.971534 0.267030 SUCCESS  97
110000100  267  245  252  216  232  253  250  244  6.937019 0.543443 SUCCESS  98
110001000  228  216  236  264  219  237  231  260 11.093193 0.196474 SUCCESS  99
110001010  260  265  248  253  278  229  243  227 10.389905 0.238719 SUCCESS 100
110010000  293  227  237  254  286  268  260  231 23.632679 0.002640 FAILURE 101
110010010  229  251  251  235  256  247  243  241  2.401663 0.966159 SUCCESS 102
110010100  259  252  241  236  256  256  225  249  4.366419 0.822644 SUCCESS 103
110011000  238  251  266  259  242  259  250  270  7.263242 0.508516 SUCCESS 104
110011010  239  254  222  245  254  259  260  222  7.093776 0.526550 SUCCESS 105
110100000  239  272  241  253  272  245  241  230  7.960175 0.437370 SUCCESS 106
110100010  238  255  271  242  254  245  247  233  4.714885 0.787569 SUCCESS 107
110100100  250  262  233  218  257  232  243  279 11.399292 0.180085 SUCCESS 108
110101000  268  210  270  246  253  254  245  247 10.985158 0.202542 SUCCESS 109
110101010  236  246  237  247  229  234  231  215  6.271861 0.616808 SUCCESS 110
110101100  240  255  256  235  227  215  275  227 11.640782 0.167965 SUCCESS 111
110110000  253  225  247  256  236  241  248  229  3.869669 0.868687 SUCCESS 112
110110010  245  234  268  249  233  237  248  244  3.756338 0.878411 SUCCESS 113
110110100  241  250  234  246  247  241  259  251  1.850896 0.985247 SUCCESS 114
